0,1;0,9;0,106733747;0,893865033;;6,73%;0,68%
0,1;0,9;0,098218893;0,901556949;;1,78%;0,17%
0,1;0,9;0,102602539;0,89725314;;2,60%;0,31%
0,1;0,9;0,103317236;0,89726551;;3,32%;0,30%
0,2;0,8;0,193288928;0,806302104;;3,36%;0,79%
0,2;0,8;0,205058722;0,795037445;;2,53%;0,62%
0,2;0,8;0,203822493;0,796157045;;1,91%;0,48%
0,2;0,8;0,192929192;0,80619035;;3,54%;0,77%
0,3;0,7;0,302287947;0,698291119;;0,76%;0,24%
0,3;0,7;0,303247827;0,696914803;;1,08%;0,44%
0,3;0,7;0,298506379;0,701699389;;0,50%;0,24%
0,3;0,7;0,302136464;0,698066293;;0,71%;0,28%
0,4;0,6;0,400846174;0,599360704;;0,21%;0,11%
0,4;0,6;0,397263443;0,602544498;;0,68%;0,42%
0,4;0,6;0,395846696;0,603830788;;1,04%;0,64%
0,4;0,6;0,399785548;0,600417403;;0,05%;0,07%
0,5;0,5;0,500251023;0,499764445;;0,05%;0,05%
0,5;0,5;0,496773567;0,503553431;;0,65%;0,71%
0,5;0,5;0,497119545;0,502789174;;0,58%;0,56%
0,5;0,5;0,498536958;0,501200806;;0,29%;0,24%
;;;;;1,62%;0,41%
